Dex;Pokemon;Evolue_vers;Niveau;Type_regle
91;CLOYSTER;0;0;FINALE
92;GASTLY;93;25;NIVEAU
93;HAUNTER;94;0;SPECIALE
94;GENGAR;0;0;FINALE
95;ONIX;208;0;SPECIALE
96;DROWZEE;97;26;NIVEAU
97;HYPNO;0;0;FINALE
98;KRABBY;99;28;NIVEAU
99;KINGLER;0;0;FINALE
100;VOLTORB;101;30;NIVEAU
101;ELECTRODE;0;0;FINALE
102;EXEGGCUTE;103;0;SPECIALE
103;EXEGGUTOR;0;0;FINALE
104;CUBONE;105;28;NIVEAU
105;MAROWAK;0;0;FINALE
106;HITMONLEE;0;0;FINALE
107;HITMONCHAN;0;0;FINALE
108;LICKITUNG;0;0;FINALE
109;KOFFING;110;35;NIVEAU
110;WEEZING;0;0;FINALE
111;RHYHORN;112;42;NIVEAU
112;RHYDON;0;0;FINALE
113;CHANSEY;242;0;SPECIALE
114;TANGELA;0;0;FINALE
115;KANGASKHAN;0;0;FINALE
116;HORSEA;117;32;NIVEAU
117;SEADRA;230;0;SPECIALE
118;GOLDEEN;119;33;NIVEAU
119;SEAKING;0;0;FINALE
120;STARYU;121;0;SPECIALE
121;STARMIE;0;0;FINALE
122;MR. MIME;0;0;FINALE
123;SCYTHER;212;0;SPECIALE
124;JYNX;0;0;FINALE
125;ELECTABUZZ;0;0;FINALE
126;MAGMAR;0;0;FINALE
127;PINSIR;0;0;FINALE
128;TAUROS;0;0;FINALE
129;MAGIKARP;130;20;NIVEAU
130;GYARADOS;0;0;FINALE
131;LAPRAS;0;0;FINALE
132;DITTO;0;0;FINALE
133;EEVEE;134;0;SPECIALE
134;VAPOREON;0;0;FINALE
135;JOLTEON;0;0;FINALE
136;FLAREON;0;0;FINALE
137;PORYGON;233;0;SPECIALE
138;OMANYTE;139;40;NIVEAU
139;OMASTAR;0;0;FINALE
140;KABUTO;141;40;NIVEAU
141;KABUTOPS;0;0;FINALE
142;AERODACTYL;0;0;FINALE
143;SNORLAX;0;0;FINALE
144;ARTICUNO;0;0;FINALE
145;ZAPDOS;0;0;FINALE
146;MOLTRES;0;0;FINALE
147;DRATINI;148;30;NIVEAU
148;DRAGONAIR;149;55;NIVEAU
149;DRAGONITE;0;0;FINALE
150;MEWTWO;0;0;FINALE
151;MEW;0;0;FINALE
152;CHIKORITA;153;16;NIVEAU
153;BAYLEEF;154;32;NIVEAU
154;MEGANIUM;0;0;FINALE
155;CYNDAQUIL;156;14;NIVEAU
156;QUILAVA;157;36;NIVEAU
157;TYPHLOSION;0;0;FINALE
158;TOTODILE;159;18;NIVEAU
159;CROCONAW;160;30;NIVEAU
160;FERALIGATR;0;0;FINALE
161;SENTRET;162;15;NIVEAU
162;FURRET;0;0;FINALE
163;HOOTHOOT;164;20;NIVEAU
164;NOCTOWL;0;0;FINALE
165;LEDYBA;166;18;NIVEAU
166;LEDIAN;0;0;FINALE
167;SPINARAK;168;22;NIVEAU
168;ARIADOS;0;0;FINALE
169;CROBAT;0;0;FINALE
170;CHINCHOU;171;27;NIVEAU
171;LANTURN;0;0;FINALE
172;PICHU;25;0;SPECIALE
173;CLEFFA;35;0;SPECIALE
174;IGGLYBUFF;39;0;SPECIALE
175;TOGEPI;176;0;SPECIALE
176;TOGETIC;0;0;FINALE
177;NATU;178;25;NIVEAU
178;XATU;0;0;FINALE
179;MAREEP;180;15;NIVEAU
180;FLAAFFY;181;30;NIVEAU
181;AMPHAROS;0;0;FINALE
182;BELLOSSOM;0;0;FINALE
183;MARILL;184;18;NIVEAU
184;AZUMARILL;0;0;FINALE
185;SUDOWOODO;0;0;FINALE
186;POLITOED;0;0;FINALE
187;HOPPIP;188;18;NIVEAU
188;SKIPLOOM;189;27;NIVEAU
189;JUMPLUFF;0;0;FINALE
190;AIPOM;0;0;FINALE
191;SUNKERN;192;0;SPECIALE
192;SUNFLORA;0;0;FINALE
193;YANMA;0;0;FINALE
194;WOOPER;195;20;NIVEAU
195;QUAGSIRE;0;0;FINALE
196;ESPEON;0;0;FINALE
197;UMBREON;0;0;FINALE
198;MURKROW;0;0;FINALE
199;SLOWKING;0;0;FINALE
200;MISDREAVUS;0;0;FINALE
201;UNOWN;0;0;FINALE
202;WOBBUFFET;0;0;FINALE
203;GIRAFARIG;0;0;FINALE
204;PINECO;205;31;NIVEAU
205;FORRETRESS;0;0;FINALE
206;DUNSPARCE;0;0;FINALE
207;GLIGAR;0;0;FINALE
208;STEELIX;0;0;FINALE
209;SNUBBULL;210;23;NIVEAU
210;GRANBULL;0;0;FINALE
211;QWILFISH;0;0;FINALE
212;SCIZOR;0;0;FINALE
213;SHUCKLE;0;0;FINALE
214;HERACROSS;0;0;FINALE
215;SNEASEL;0;0;FINALE
216;TEDDIURSA;217;30;NIVEAU
217;URSARING;0;0;FINALE
218;SLUGMA;219;38;NIVEAU
219;MAGCARGO;0;0;FINALE
220;SWINUB;221;33;NIVEAU
221;PILOSWINE;0;0;FINALE
222;CORSOLA;0;0;FINALE
223;REMORAID;224;25;NIVEAU
224;OCTILLERY;0;0;FINALE
225;DELIBIRD;0;0;FINALE
226;MANTINE;0;0;FINALE
227;SKARMORY;0;0;FINALE
228;HOUNDOUR;229;24;NIVEAU
229;HOUNDOOM;0;0;FINALE
230;KINGDRA;0;0;FINALE
231;PHANPY;232;25;NIVEAU
232;DONPHAN;0;0;FINALE
233;PORYGON2;0;0;FINALE
234;STANTLER;0;0;FINALE
235;SMEARGLE;0;0;FINALE
236;TYROGUE;237;20;NIVEAU
237;HITMONTOP;0;0;FINALE
238;SMOOCHUM;124;20;NIVEAU
239;ELEKID;125;20;NIVEAU
240;MAGBY;126;20;NIVEAU
241;MILTANK;0;0;FINALE
242;BLISSEY;0;0;FINALE
243;RAIKOU;0;0;FINALE
244;ENTEI;0;0;FINALE
245;SUICUNE;0;0;FINALE
246;LARVITAR;247;30;NIVEAU
247;PUPITAR;248;55;NIVEAU
248;TYRANITAR;0;0;FINALE
249;LUGIA;0;0;FINALE
250;HO-OH;0;0;FINALE
251;CELEBI;0;0;FINALE
252;TREECKO;253;16;NIVEAU
253;GROVYLE;254;36;NIVEAU
254;SCEPTILE;0;0;FINALE
255;TORCHIC;256;16;NIVEAU
256;COMBUSKEN;257;36;NIVEAU
257;BLAZIKEN;0;0;FINALE
258;MUDKIP;259;16;NIVEAU
259;MARSHTOMP;260;36;NIVEAU
260;SWAMPERT;0;0;FINALE
261;POOCHYENA;262;18;NIVEAU
262;MIGHTYENA;0;0;FINALE
263;ZIGZAGOON;264;20;NIVEAU
264;LINOONE;0;0;FINALE
265;WURMPLE;266;7;NIVEAU
266;SILCOON;267;10;NIVEAU
267;BEAUTIFLY;0;0;FINALE
268;CASCOON;269;10;NIVEAU
269;DUSTOX;0;0;FINALE
270;LOTAD;271;14;NIVEAU
271;LOMBRE;272;0;SPECIALE
272;LUDICOLO;0;0;FINALE
273;SEEDOT;274;14;NIVEAU
274;NUZLEAF;275;0;SPECIALE
275;SHIFTRY;0;0;FINALE
276;TAILLOW;277;22;NIVEAU
277;SWELLOW;0;0;FINALE
278;WINGULL;279;25;NIVEAU
279;PELIPPER;0;0;FINALE
280;RALTS;281;20;NIVEAU
281;KIRLIA;282;30;NIVEAU
282;GARDEVOIR;0;0;FINALE
283;SURSKIT;284;22;NIVEAU
284;MASQUERAIN;0;0;FINALE
285;SHROOMISH;286;23;NIVEAU
286;BRELOOM;0;0;FINALE
287;SLAKOTH;288;18;NIVEAU
288;VIGOROTH;289;36;NIVEAU
289;SLAKING;0;0;FINALE
290;NINCADA;291;20;NIVEAU
291;NINJASK;0;0;FINALE
292;SHEDINJA;0;0;FINALE
293;WHISMUR;294;20;NIVEAU
294;LOUDRED;295;40;NIVEAU
295;EXPLOUD;0;0;FINALE
296;MAKUHITA;297;24;NIVEAU
297;HARIYAMA;0;0;FINALE
298;AZURILL;183;0;SPECIALE
299;NOSEPASS;0;0;FINALE
300;SKITTY;301;0;SPECIALE
301;DELCATTY;0;0;FINALE
302;SABLEYE;0;0;FINALE
303;MAWILE;0;0;FINALE
304;ARON;305;32;NIVEAU
305;LAIRON;306;42;NIVEAU
306;AGGRON;0;0;FINALE
307;MEDITITE;308;37;NIVEAU
308;MEDICHAM;0;0;FINALE
309;ELECTRIKE;310;26;NIVEAU
310;MANECTRIC;0;0;FINALE
311;PLUSLE;0;0;FINALE
312;MINUN;0;0;FINALE
313;VOLBEAT;0;0;FINALE
314;ILLUMISE;0;0;FINALE
315;ROSELIA;0;0;FINALE
316;GULPIN;317;26;NIVEAU
317;SWALOT;0;0;FINALE
318;CARVANHA;319;30;NIVEAU
319;SHARPEDO;0;0;FINALE
320;WAILMER;321;40;NIVEAU
321;WAILORD;0;0;FINALE
322;NUMEL;323;33;NIVEAU
323;CAMERUPT;0;0;FINALE
324;TORKOAL;0;0;FINALE
325;SPOINK;326;32;NIVEAU
326;GRUMPIG;0;0;FINALE
327;SPINDA;0;0;FINALE
328;TRAPINCH;329;35;NIVEAU
329;VIBRAVA;330;45;NIVEAU
330;FLYGON;0;0;FINALE
331;CACNEA;332;32;NIVEAU
332;CACTURNE;0;0;FINALE
333;SWABLU;334;35;NIVEAU
334;ALTARIA;0;0;FINALE
335;ZANGOOSE;0;0;FINALE
336;SEVIPER;0;0;FINALE
337;LUNATONE;0;0;FINALE
338;SOLROCK;0;0;FINALE
339;BARBOACH;340;30;NIVEAU
340;WHISCASH;0;0;FINALE
341;CORPHISH;342;30;NIVEAU
342;CRAWDAUNT;0;0;FINALE
343;BALTOY;344;36;NIVEAU
344;CLAYDOL;0;0;FINALE
345;LILEEP;346;40;NIVEAU
346;CRADILY;0;0;FINALE
347;ANORITH;348;40;NIVEAU
348;ARMALDO;0;0;FINALE
349;FEEBAS;350;0;SPECIALE
350;MILOTIC;0;0;FINALE
351;CASTFORM;0;0;FINALE
352;KECLEON;0;0;FINALE
353;SHUPPET;354;37;NIVEAU
354;BANETTE;0;0;FINALE
355;DUSKULL;356;37;NIVEAU
356;DUSCLOPS;0;0;FINALE
357;TROPIUS;0;0;FINALE
358;CHIMECHO;0;0;FINALE
359;ABSOL;0;0;FINALE
360;WYNAUT;202;20;NIVEAU
361;SNORUNT;362;42;NIVEAU
362;GLALIE;0;0;FINALE
363;SPHEAL;364;32;NIVEAU
364;SEALEO;365;44;NIVEAU
365;WALREIN;0;0;FINALE
366;CLAMPERL;367;0;SPECIALE
367;HUNTAIL;0;0;FINALE
368;GOREBYSS;0;0;FINALE
369;RELICANTH;0;0;FINALE
370;LUVDISC;0;0;FINALE
371;BAGON;372;30;NIVEAU
372;SHELGON;373;50;NIVEAU
373;SALAMENCE;0;0;FINALE
374;BELDUM;375;20;NIVEAU
375;METANG;376;45;NIVEAU
376;METAGROSS;0;0;FINALE
377;REGIROCK;0;0;FINALE
378;REGICE;0;0;FINALE
379;REGISTEEL;0;0;FINALE
380;LATIAS;0;0;FINALE
381;LATIOS;0;0;FINALE
382;KYOGRE;0;0;FINALE
383;GROUDON;0;0;FINALE
384;RAYQUAZA;0;0;FINALE
385;JIRACHI;0;0;FINALE
386;DEOXYS;0;0;FINALE
