Dex;Nom français officiel/audité;Nom affiché TamaPoke (ASCII);Statut
79;Ramoloss;RAMOLOSS;OK
80;Flagadoss;FLAGADOSS;OK
81;Magneti;MAGNETI;OK
82;Magneton;MAGNETON;OK
83;Canarticho;CANARTICHO;OK
84;Doduo;DODUO;OK
85;Dodrio;DODRIO;OK
86;Otaria;OTARIA;OK
87;Lamantine;LAMANTINE;OK
88;Tadmorv;TADMORV;OK
89;Grotadmorv;GROTADMORV;OK
90;Kokiyas;KOKIYAS;OK
91;Crustabri;CRUSTABRI;OK
92;Fantominus;FANTOMINUS;OK
93;Spectrum;SPECTRUM;OK
94;Ectoplasma;ECTOPLASMA;OK
95;Onix;ONIX;OK
96;Soporifik;SOPORIFIK;OK
97;Hypnomade;HYPNOMADE;OK
98;Krabby;KRABBY;OK
99;Krabboss;KRABBOSS;OK
100;Voltorbe;VOLTORBE;OK
101;Electrode;ELECTRODE;OK
102;Noeunoeuf;NOEUNOEUF;OK
103;Noadkoko;NOADKOKO;OK
104;Osselait;OSSELAIT;OK
105;Ossatueur;OSSATUEUR;OK
106;Kicklee;KICKLEE;OK
107;Tygnon;TYGNON;OK
108;Excelangue;EXCELANGUE;OK
109;Smogo;SMOGO;OK
110;Smogogo;SMOGOGO;OK
111;Rhinocorne;RHINOCORNE;OK
112;Rhinoferos;RHINOFEROS;OK
113;Leveinard;LEVEINARD;OK
114;Saquedeneu;SAQUEDENEU;OK
115;Kangourex;KANGOUREX;OK
116;Hypotrempe;HYPOTREMPE;OK
117;Hypocean;HYPOCEAN;OK
118;Poissirene;POISSIRENE;OK
119;Poissoroy;POISSOROY;OK
120;Stari;STARI;OK
121;Staross;STAROSS;OK
122;M. Mime;M. MIME;OK
123;Insecateur;INSECATEUR;OK
124;Lippoutou;LIPPOUTOU;OK
125;Elektek;ELEKTEK;OK
126;Magmar;MAGMAR;OK
127;Scarabrute;SCARABRUTE;OK
128;Tauros;TAUROS;OK
129;Magicarpe;MAGICARPE;OK
130;Leviator;LEVIATOR;OK
131;Lokhlass;LOKHLASS;OK
132;Metamorph;METAMORPH;OK
133;Evoli;EVOLI;OK
134;Aquali;AQUALI;OK
135;Voltali;VOLTALI;OK
136;Pyroli;PYROLI;OK
137;Porygon;PORYGON;OK
138;Amonita;AMONITA;OK
139;Amonistar;AMONISTAR;OK
140;Kabuto;KABUTO;OK
141;Kabutops;KABUTOPS;OK
142;Ptera;PTERA;OK
143;Ronflex;RONFLEX;OK
144;Artikodin;ARTIKODIN;OK
145;Electhor;ELECTHOR;OK
146;Sulfura;SULFURA;OK
147;Minidraco;MINIDRACO;OK
148;Draco;DRACO;OK
149;Dracolosse;DRACOLOSSE;OK
150;Mewtwo;MEWTWO;OK
151;Mew;MEW;OK
152;Germignon;GERMIGNON;OK
153;Macronium;MACRONIUM;OK
154;Meganium;MEGANIUM;OK
155;Hericendre;HERICENDRE;OK
156;Feurisson;FEURISSON;OK
157;Typhlosion;TYPHLOSION;OK
158;Kaiminus;KAIMINUS;OK
159;Crocrodil;CROCRODIL;OK
160;Aligatueur;ALIGATUEUR;OK
161;Fouinette;FOUINETTE;OK
162;Fouinar;FOUINAR;OK
163;Hoothoot;HOOTHOOT;OK
164;Noarfang;NOARFANG;OK
165;Coxy;COXY;OK
166;Coxyclaque;COXYCLAQUE;OK
167;Mimigal;MIMIGAL;OK
168;Migalos;MIGALOS;OK
169;Nostenfer;NOSTENFER;OK
170;Loupio;LOUPIO;OK
171;Lanturn;LANTURN;OK
172;Pichu;PICHU;OK
173;Melo;MELO;OK
174;Toudoudou;TOUDOUDOU;OK
175;Togepi;TOGEPI;OK
176;Togetic;TOGETIC;OK
177;Natu;NATU;OK
178;Xatu;XATU;OK
179;Wattouat;WATTOUAT;OK
180;Lainergie;LAINERGIE;OK
181;Pharamp;PHARAMP;OK
182;Joliflor;JOLIFLOR;OK
183;Marill;MARILL;OK
184;Azumarill;AZUMARILL;OK
185;Simularbre;SIMULARBRE;OK
186;Tarpaud;TARPAUD;OK
187;Granivol;GRANIVOL;OK
188;Floravol;FLORAVOL;OK
189;Cotovol;COTOVOL;OK
190;Capumain;CAPUMAIN;OK
191;Tournegrin;TOURNEGRIN;OK
192;Heliatronc;HELIATRONC;OK
193;Yanma;YANMA;OK
194;Axoloto;AXOLOTO;OK
195;Maraiste;MARAISTE;OK
196;Mentali;MENTALI;OK
197;Noctali;NOCTALI;OK
198;Cornebre;CORNEBRE;OK
199;Roigada;ROIGADA;OK
200;Feuforeve;FEUFOREVE;OK
201;Zarbi;ZARBI;OK
202;Qulbutoke;QULBUTOKE;OK
203;Girafarig;GIRAFARIG;OK
204;Pomdepik;POMDEPIK;OK
205;Foretress;FORETRESS;OK
206;Insolourdo;INSOLOURDO;OK
207;Scorplane;SCORPLANE;OK
208;Steelix;STEELIX;OK
209;Snubbull;SNUBBULL;OK
210;Granbull;GRANBULL;OK
211;Qwilfish;QWILFISH;OK
212;Cizayox;CIZAYOX;OK
213;Caratroc;CARATROC;OK
214;Scarhino;SCARHINO;OK
215;Farfuret;FARFURET;OK
216;Teddiursa;TEDDIURSA;OK
217;Ursaring;URSARING;OK
218;Limagma;LIMAGMA;OK
219;Volcaropod;VOLCAROPOD;OK
220;Marcacrin;MARCACRIN;OK
221;Cochignon;COCHIGNON;OK
222;Corayon;CORAYON;OK
223;Remoraid;REMORAID;OK
224;Octillery;OCTILLERY;OK
225;Cadoizo;CADOIZO;OK
226;Demanta;DEMANTA;OK
227;Airmure;AIRMURE;OK
228;Malosse;MALOSSE;OK
229;Demolosse;DEMOLOSSE;OK
230;Hyporoi;HYPOROI;OK
231;Phanpy;PHANPY;OK
232;Donphan;DONPHAN;OK
233;Porygon2;PORYGON2;OK
234;Cerfrousse;CERFROUSSE;OK
235;Queulorior;QUEULORIOR;OK
236;Debugant;DEBUGANT;OK
237;Kapoera;KAPOERA;OK
238;Lippouti;LIPPOUTI;OK
239;Elekid;ELEKID;OK
240;Magby;MAGBY;OK
241;Ecremeuh;ECREMEUH;OK
242;Leuphorie;LEUPHORIE;OK
243;Raikou;RAIKOU;OK
244;Entei;ENTEI;OK
245;Suicune;SUICUNE;OK
246;Embrylex;EMBRYLEX;OK
247;Ymphect;YMPHECT;OK
248;Tyranocif;TYRANOCIF;OK
249;Lugia;LUGIA;OK
250;Ho-Oh;HO-OH;OK
251;Celebi;CELEBI;OK
252;Arcko;ARCKO;OK
253;Massko;MASSKO;OK
254;Jungko;JUNGKO;OK
255;Poussifeu;POUSSIFEU;OK
256;Galifeu;GALIFEU;OK
257;Braségali;BRASEGALI;OK
258;Gobou;GOBOU;OK
259;Flobio;FLOBIO;OK
260;Laggron;LAGGRON;OK
261;Medhyèna;MEDHYENA;OK
262;Grahyèna;GRAHYENA;OK
263;Zigzaton;ZIGZATON;OK
264;Linéon;LINEON;OK
265;Chenipotte;CHENIPOTTE;OK
266;Armulys;ARMULYS;OK
267;Charmillon;CHARMILLON;OK
268;Blindalys;BLINDALYS;OK
269;Papinox;PAPINOX;OK
270;Nénupiot;NENUPIOT;OK
271;Lombre;LOMBRE;OK
272;Ludicolo;LUDICOLO;OK
273;Grainipiot;GRAINIPIOT;OK
274;Pifeuil;PIFEUIL;OK
275;Tengalice;TENGALICE;OK
276;Nirondelle;NIRONDELLE;OK
277;Hélédelle;HELEDELLE;OK
278;Goélise;GOELISE;OK
279;Bekipan;BEKIPAN;OK
280;Tarsal;TARSAL;OK
281;Kirlia;KIRLIA;OK
282;Gardevoir;GARDEVOIR;OK
283;Arakdo;ARAKDO;OK
284;Maskadra;MASKADRA;OK
285;Balignon;BALIGNON;OK
286;Chapignon;CHAPIGNON;OK
287;Parecool;PARECOOL;OK
288;Vigoroth;VIGOROTH;OK
289;Monaflèmit;MONAFLEMIT;OK
290;Ningale;NINGALE;OK
291;Ninjask;NINJASK;OK
292;Munja;MUNJA;OK
293;Chuchmur;CHUCHMUR;OK
294;Ramboum;RAMBOUM;OK
295;Brouhabam;BROUHABAM;OK
296;Makuhita;MAKUHITA;OK
297;Hariyama;HARIYAMA;OK
298;Azurill;AZURILL;OK
299;Tarinor;TARINOR;OK
300;Skitty;SKITTY;OK
301;Delcatty;DELCATTY;OK
302;Ténéfix;TENEFIX;OK
303;Mysdibule;MYSDIBULE;OK
304;Galekid;GALEKID;OK
305;Galegon;GALEGON;OK
306;Galeking;GALEKING;OK
307;Méditikka;MEDITIKKA;OK
308;Charmina;CHARMINA;OK
309;Dynavolt;DYNAVOLT;OK
310;Élecsprint;ELECSPRINT;OK
311;Posipi;POSIPI;OK
312;Négapi;NEGAPI;OK
313;Muciole;MUCIOLE;OK
314;Lumivole;LUMIVOLE;OK
315;Rosélia;ROSELIA;OK
316;Gloupti;GLOUPTI;OK
317;Avaltout;AVALTOUT;OK
318;Carvanha;CARVANHA;OK
319;Sharpedo;SHARPEDO;OK
320;Wailmer;WAILMER;OK
321;Wailord;WAILORD;OK
322;Chamallot;CHAMALLOT;OK
323;Camérupt;CAMERUPT;OK
324;Chartor;CHARTOR;OK
325;Spoink;SPOINK;OK
326;Groret;GRORET;OK
327;Spinda;SPINDA;OK
328;Kraknoix;KRAKNOIX;OK
329;Vibraninf;VIBRANINF;OK
330;Libégon;LIBEGON;OK
331;Cacnea;CACNEA;OK
332;Cacturne;CACTURNE;OK
333;Tylton;TYLTON;OK
334;Altaria;ALTARIA;OK
335;Mangriff;MANGRIFF;OK
336;Séviper;SEVIPER;OK
337;Séléroc;SELEROC;OK
338;Solaroc;SOLAROC;OK
339;Barloche;BARLOCHE;OK
340;Barbicha;BARBICHA;OK
341;Écrapince;ECRAPINCE;OK
342;Colhomard;COLHOMARD;OK
343;Balbuto;BALBUTO;OK
344;Kaorine;KAORINE;OK
345;Lilia;LILIA;OK
346;Vacilys;VACILYS;OK
347;Anorith;ANORITH;OK
348;Armaldo;ARMALDO;OK
349;Barpau;BARPAU;OK
350;Milobellus;MILOBELLUS;OK
351;Morphéo;MORPHEO;OK
352;Kecleon;KECLEON;OK
353;Polichombr;POLICHOMBR;OK
354;Branette;BRANETTE;OK
355;Skelénox;SKELENOX;OK
356;Téraclope;TERACLOPE;OK
357;Tropius;TROPIUS;OK
358;Éoko;EOKO;OK
359;Absol;ABSOL;OK
360;Okéoké;OKEOKE;OK
361;Stalgamin;STALGAMIN;OK
362;Oniglali;ONIGLALI;OK
363;Obalie;OBALIE;OK
364;Phogleur;PHOGLEUR;OK
365;Kaimorse;KAIMORSE;OK
366;Coquiperl;COQUIPERL;OK
367;Serpang;SERPANG;OK
368;Rosabyss;ROSABYSS;OK
369;Relicanth;RELICANTH;OK
370;Lovdisc;LOVDISC;OK
371;Draby;DRABY;OK
372;Drackhaus;DRACKHAUS;OK
373;Drattak;DRATTAK;OK
374;Terhal;TERHAL;OK
375;Métang;METANG;OK
376;Métalosse;METALOSSE;OK
377;Regirock;REGIROCK;OK
378;Regice;REGICE;OK
379;Registeel;REGISTEEL;OK
380;Latias;LATIAS;OK
381;Latios;LATIOS;OK
382;Kyogre;KYOGRE;OK
383;Groudon;GROUDON;OK
384;Rayquaza;RAYQUAZA;OK
385;Jirachi;JIRACHI;OK
386;Deoxys;DEOXYS;OK
